MACH,WAFER_ID,Vf,TOUCHDOWN,PD,X_UM,Y_UM,TE_LABEL,TYPE,LDI_mA,FLAG,ITH
LIV_54,QCHZ2,1.813177,3,12.173923,-43119,-60116,63N0D,BL LASER,54,,12.71013795253522
LIV_54,QCHZ2,1.818107,3,12.468034,-43119,-60116,63N0D,BL LASER,55,,12.71013795253522
LIV_54,QCHZ2,1.823114,3,12.75393,-43119,-60116,63N0D,BL LASER,56,,12.71013795253522
LIV_54,QCHZ2,1.828044,3,13.041468,-43119,-60116,63N0D,BL LASER,57,,12.71013795253522
LIV_54,QCHZ2,1.832973,3,13.332293,-43119,-60116,63N0D,BL LASER,58,,12.71013795253522
LIV_54,QCHZ2,1.837864,3,13.624761,-43119,-60116,63N0D,BL LASER,59,,12.71013795253522
LIV_54,QCHZ2,1.842794,3,13.912299,-43119,-60116,63N0D,BL LASER,60,,12.71013795253522
LIV_54,QCHZ2,1.847762,3,14.203124,-43119,-60116,63N0D,BL LASER,61,,12.71013795253522
LIV_54,QCHZ2,1.852692,3,14.497235,-43119,-60116,63N0D,BL LASER,62,,12.71013795253522
LIV_54,QCHZ2,1.857583,3,14.78313,-43119,-60116,63N0D,BL LASER,63,,12.71013795253522
LIV_54,QCHZ2,1.364014,4,0.022642,-43119,-59966,63N0G,BL LASER,1,,12.703815026768893
LIV_54,QCHZ2,1.42829,4,0.022642,-43119,-59966,63N0G,BL LASER,2,,12.703815026768893
LIV_54,QCHZ2,1.46722,4,0.020999,-43119,-59966,63N0G,BL LASER,3,,12.703815026768893
LIV_54,QCHZ2,1.4917,4,0.020999,-43119,-59966,63N0G,BL LASER,4,,12.703815026768893
LIV_54,QCHZ2,1.510268,4,0.022642,-43119,-59966,63N0G,BL LASER,5,,12.703815026768893
LIV_54,QCHZ2,1.525977,4,0.022642,-43119,-59966,63N0G,BL LASER,6,,12.703815026768893
LIV_54,QCHZ2,1.539909,4,0.020999,-43119,-59966,63N0G,BL LASER,7,,12.703815026768893
LIV_54,QCHZ2,1.552644,4,0.019356,-43119,-59966,63N0G,BL LASER,8,,12.703815026768893
LIV_54,QCHZ2,1.564373,4,0.019356,-43119,-59966,63N0G,BL LASER,9,,12.703815026768893
LIV_54,QCHZ2,1.575408,4,0.014427,-43119,-59966,63N0G,BL LASER,10,,12.703815026768893
LIV_54,QCHZ2,1.585824,4,0.006211,-43119,-59966,63N0G,BL LASER,11,,12.703815026768893
LIV_54,QCHZ2,1.595622,4,0.000361,-43119,-59966,63N0G,BL LASER,12,,12.703815026768893
LIV_54,QCHZ2,1.603951,4,0.066084,-43119,-59966,63N0G,BL LASER,13,,12.703815026768893
LIV_54,QCHZ2,1.608108,4,0.388127,-43119,-59966,63N0G,BL LASER,14,,12.703815026768893
LIV_54,QCHZ2,1.612729,4,0.706884,-43119,-59966,63N0G,BL LASER,15,,12.703815026768893
LIV_54,QCHZ2,1.617659,4,1.01414,-43119,-59966,63N0G,BL LASER,16,,12.703815026768893
LIV_54,QCHZ2,1.622704,4,1.318109,-43119,-59966,63N0G,BL LASER,17,,12.703815026768893
LIV_54,QCHZ2,1.627788,4,1.620436,-43119,-59966,63N0G,BL LASER,18,,12.703815026768893
LIV_54,QCHZ2,1.63295,4,1.914547,-43119,-59966,63N0G,BL LASER,19,,12.703815026768893
